업종명,인허가일자,업소명,소재지(도로명),소재지(지번),영업장면적,소재지전화,업태명
,,장수촌생선구이,경상북도 김천시 부곡동 1352,경상북도 김천시 부곡동 1352,,,
,,들마루,황금동 18-14번지 김천시 경상북도 KR,황금동 18-14번지 김천시 경상북도 KR,,,
,,"몽간, 夢間",경상북도 김천시 교동택지4길 12 KR,경상북도 김천시 교동택지4길 12 KR,,,
,,이조한식집,경상북도 김천시 평화동 245-195,경상북도 김천시 평화동 245-195,,,
,,새벽야식,경상북도 김천시 평화동 147-52,경상북도 김천시 평화동 147-52,,,
,,비룡손짜장,경상북도 김천시 교동 대학로 75 1층,경상북도 김천시 교동 대학로 75 1층,,,
,,메이,경상북도 김천시 교동 897번지 2층,경상북도 김천시 교동 897번지 2층,,,
,,한돈참숯꼬기,경상북도 구미시 봉곡동,경상북도 구미시 봉곡동,,,
,,바르미샤브샤브칼국수 김천점,경상북도 김천시 신음동,경상북도 김천시 신음동,,,
,,예가,경상북도 김천시 신음동 1181,경상북도 김천시 신음동 1181,,,
,,예반,경상북도 김천시 신음동 808번지 KR,경상북도 김천시 신음동 808번지 KR,,,
,,투썸플레이스 김천혁신점,경상북도 김천시 남면 혁신4로 81,경상북도 김천시 남면 혁신4로 81,,,
,,영동식당,경상북도 김천시 평화동 364-1,경상북도 김천시 평화동 364-1,,,
,,웰빙들밥상,경상북도 김천시 남산동 13-13,경상북도 김천시 남산동 13-13,,,
,,늘푸른회,경상북도 김천시 신음동 793-1,경상북도 김천시 신음동 793-1,,,
,,해물나라찜마을,경상북도 김천시 신음동 1019-3,경상북도 김천시 신음동 1019-3,,,
,,고향맛김치,경상북도 김천시 부곡동 1530,경상북도 김천시 부곡동 1530,,,
,,이차돌김천신음점,경상북도 김천시 신음동 1004-11,경상북도 김천시 신음동 1004-11,,,
,,롯데리아 김천EXP,경상북도 김천시 신음동 394-4,경상북도 김천시 신음동 394-4,,,
,,모던,경상북도 김천시 신음동 1210-2번지,경상북도 김천시 신음동 1210-2번지,,,
,,임실치즈피자,경상북도 김천시 부곡동 364-7,경상북도 김천시 부곡동 364-7,,,
